coint_pvalue_gate,entry,exit_ratio,fold_0_fees_slippage,fold_0_max_dd_pct,fold_0_max_dd_usd,fold_0_pnl,fold_0_round_trips,fold_0_sharpe,fold_0_trades,fold_0_turnover,fold_0_win_rate,fold_1_fees_slippage,fold_1_max_dd_pct,fold_1_max_dd_usd,fold_1_pnl,fold_1_round_trips,fold_1_sharpe,fold_1_trades,fold_1_turnover,fold_1_win_rate,fold_2_fees_slippage,fold_2_max_dd_pct,fold_2_max_dd_usd,fold_2_pnl,fold_2_round_trips,fold_2_sharpe,fold_2_trades,fold_2_turnover,fold_2_win_rate,half_life_max_bars,half_life_min_bars,in_sample_pnl,in_sample_sharpe,kalman_delta,kalman_obs_var,max_holding_half_lives,median_oos_sharpe,min_edge_cost_multiple,min_oos_sharpe,ofi_threshold,stop_ratio,trial_id
0.1000000000,2.0000000000,0.2500000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,78.0000000000,1.0000000000,2018.9600000000,1.1427520849,0.0000100000,0.0000010000,2.0000000000,0.0000000000,,0.0000000000,,2.0000000000,0
0.0504107750,2.2739233746,0.0245841144,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,129.1944396381,18.4296003910,0.0000000000,0.0000000000,0.0000001164,0.0000179094,3.1884896830,0.0000000000,1.6308749744,0.0000000000,0.6526828433,1.9046800706,1
0.1505936622,2.7148085532,0.4377932679,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,73.9481402967,11.7463019645,0.0000000000,0.0000000000,0.0000005042,0.0000283606,2.2680616636,0.0000000000,0.0849590134,0.0000000000,,1.5503783630,2
0.1582232510,2.2943790231,0.2302065326,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,137.0826697282,14.3397557207,0.0000000000,0.0000000000,0.0009746299,0.0000838188,3.0653401917,0.0000000000,1.1667642719,0.0000000000,,2.4230776672,3
0.1835411528,2.0507086450,0.2915012153,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,122.8753695314,8.4403135408,0.0000000000,0.0000000000,0.0003613694,0.0000544721,1.9656081732,0.0000000000,1.7829000906,0.0000000000,0.3132952004,1.9653628133,4
0.1175509050,1.4543151871,0.0504092061,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,177.7671615459,6.3086499739,0.0000000000,0.0000000000,0.0002140802,0.0000140732,1.1757041044,0.0000000000,1.0083511816,0.0000000000,,2.4347807170,5
0.1913169666,2.5926485406,0.0312127806,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,124.4598294776,3.6335548211,0.0000000000,0.0000000000,0.0000041515,0.0000000622,1.8960883985,0.0000000000,2.0159846339,0.0000000000,,1.8459633135,6
0.1190067709,1.7302203365,0.3774648909,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,109.9812464638,19.1826288864,0.0000000000,0.0000000000,0.0005112322,0.0000005774,2.2756858745,0.0000000000,1.8606403560,0.0000000000,0.7591549400,1.6582429194,7
0.1951889285,2.5154576906,0.3175872961,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,148.0057180382,15.2207042922,0.0000000000,0.0000000000,0.0001390410,0.0000004556,3.7961790598,0.0000000000,0.3447978998,0.0000000000,0.7419391429,2.2461340432,8
0.1702820868,1.0294126099,0.5887170240,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,180.1884000297,19.5073186488,0.0000000000,0.0000000000,0.0006742807,0.0000000394,3.4671214826,0.0000000000,1.4399637714,0.0000000000,,2.7954601354,9
